Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
96.361967087,87.30469,181.3125,3.989375,281.25,0
97.416769505,87.28906,181.59375,3.989375,295.3125,0
98.295742512,87.27734,181.5,3.99125,299.6875,0
99.350732327,87.27734,181.5,3.9925,290,0
100.405546188,87.26563,182.15625,3.991875,275.625,0
101.284498692,87.26563,182.625,3.99125,272.8125,0
102.339477539,87.25391,182.625,3.9875,288.4375,0
103.394190788,87.24219,182.53125,3.98875,293.4375,0
104.272926331,87.24219,182.15625,3.98875,295.625,0
105.327738762,87.23047,182.4375,3.99125,278.4375,0
106.382560730,87.21875,182.625,3.985625,274.6875,0
107.437639713,87.21875,183.28125,3.990625,276.5625,0
108.316431522,87.20703,183.09375,3.99,267.1875,0
109.371084690,87.19141,183.09375,3.9875,319.375,0
110.426039696,87.19141,182.0625,3.99,293.125,0
111.305004597,87.17969,181.96875,3.9875,289.375,0
112.359744072,87.16797,181.40625,3.99125,284.0625,0
113.414463520,87.16797,181.78125,3.99125,286.25,0
114.293573380,87.15625,181.96875,3.98875,282.1875,0
115.348490238,87.14453,181.875,3.988125,298.4375,0
116.403050900,87.14453,181.40625,3.990625,275,0
117.282250404,87.13281,181.6875,3.988125,278.125,0
118.336905480,87.12109,181.3125,3.98875,291.875,0
119.391594887,87.12109,181.6875,3.991875,278.4375,0
120.446641922,87.10938,182.25,3.989375,266.875,0
121.325480461,87.10938,182.53125,3.988125,292.8125,0
