Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
139.409457684,79.91797,86.8125,3.76375,333.4375,0
140.464549542,79.89453,86.71875,3.764375,312.1875,0
141.343085766,79.88281,86.625,3.76125,300.3125,0
142.397781849,79.86719,86.90625,3.76625,298.4375,0
143.458710194,79.84375,86.625,3.75875,319.0625,0
144.331670284,79.83203,86.34375,3.769375,293.75,0
145.386327267,79.82031,86.53125,3.7675,301.875,0
146.441523552,79.80859,86.4375,3.76875,303.125,0
147.352471829,79.79688,86.25,3.755625,309.375,0
148.376370430,79.76953,85.96875,3.7575,317.8125,0
149.431396961,79.75781,85.6875,3.77125,322.5,0
150.486582279,79.73438,85.21875,3.76375,314.375,0
151.363431931,79.72266,85.125,3.768125,302.5,0
